% Model:              nanorod_3d_placa.mph
% Version:            COMSOL 5.2.0.166
% Date:               Oct 3 2019, 14:35
% Dimension:          3
% Nodes:              484
% Expressions:        3
% Description:        Arrow volume
% X                       Y                        Z                        VectorX                  VectorY                  VectorZ
8.00000000000001E-5       -8.000044445933305E-5    1.6437263451136953E-4    0                        -9.586383693073876E-6    -1.0976105155300354E-5
1.600000000000001E-4      -8.000044445933305E-5    1.6437263451136953E-4    0                        -9.940651401416626E-6    -1.1245519124226468E-5
-1.600000000000001E-4     0                        1.6437263451136953E-4    0                        -8.41606386411291E-6     1.5541209683169975E-6
-7.999999999999999E-5     0                        1.6437263451136953E-4    0                        -8.201138698575069E-6    1.6680165393179638E-6
0                         0                        1.6437263451136953E-4    0                        -7.957391606758528E-6    1.662601562081774E-6
8.00000000000001E-5       0                        1.6437263451136953E-4    0                        -8.185506917371986E-6    1.6974838981290293E-6
1.600000000000001E-4      0                        1.6437263451136953E-4    0                        -8.471874841181071E-6    1.762378542150244E-6
-1.600000000000001E-4     8.000044445933315E-5     1.6437263451136953E-4    0                        -1.4052275847313724E-5   1.354430893781102E-5
-7.999999999999999E-5     8.000044445933315E-5     1.6437263451136953E-4    0                        -1.377513081520297E-5    1.3354579408482655E-5
0                         8.000044445933315E-5     1.6437263451136953E-4    0                        -1.3709352806293075E-5   1.3172068358763445E-5
8.00000000000001E-5       8.000044445933315E-5     1.6437263451136953E-4    0                        -1.390335825473084E-5    1.3318354511967439E-5
1.600000000000001E-4      8.000044445933315E-5     1.6437263451136953E-4    0                        -1.4022608702770784E-5   1.3878352420128761E-5
-7.999999999999999E-5     1.600008889186662E-4     1.6437263451136953E-4    0                        -2.4836520606571186E-5   2.4823946617614714E-5
0                         1.600008889186662E-4     1.6437263451136953E-4    0                        -2.4759526443683962E-5   2.4878089997946237E-5
8.00000000000001E-5       1.600008889186662E-4     1.6437263451136953E-4    0                        -2.4775622425704543E-5   2.5000093232598235E-5
-7.999999999999999E-5     -1.600008889186661E-4    2.3012168831591733E-4    0                        -3.040901770878545E-5    -3.877398951434468E-5
0                         -1.600008889186661E-4    2.3012168831591733E-4    0                        -3.0274472362815677E-5   -3.8761207163111424E-5
8.00000000000001E-5       -1.600008889186661E-4    2.3012168831591733E-4    0                        -3.0582098618526166E-5   -3.889964224674892E-5
-1.600000000000001E-4     -8.000044445933305E-5    2.3012168831591733E-4    0                        -2.223030701214464E-5    -1.7842206665959997E-5
-7.999999999999999E-5     -8.000044445933305E-5    2.3012168831591733E-4    0                        -2.2030013481878666E-5   -1.752032907947258E-5
0                         -8.000044445933305E-5    2.3012168831591733E-4    0                        -2.1953567819744066E-5   -1.7253012767083413E-5
8.00000000000001E-5       -8.000044445933305E-5    2.3012168831591733E-4    0                        -2.208680387572664E-5    -1.7420439899507607E-5
1.600000000000001E-4      -8.000044445933305E-5    2.3012168831591733E-4    0                        -2.2249818673423063E-5   -1.7613892057405018E-5
-1.600000000000001E-4     0                        2.3012168831591733E-4    0                        -2.2237848047016807E-5   1.300157927928306E-6
-7.999999999999999E-5     0                        2.3012168831591733E-4    0                        -2.204223645569728E-5    1.478734250130778E-6
0                         0                        2.3012168831591733E-4    0                        -2.1960682124279532E-5   1.473894712385555E-6
8.00000000000001E-5       0                        2.3012168831591733E-4    0                        -2.207321094941108E-5    1.4865732459274705E-6
1.600000000000001E-4      0                        2.3012168831591733E-4    0                        -2.2256797720633455E-5   1.5523317425921466E-6
-1.600000000000001E-4     8.000044445933315E-5     2.3012168831591733E-4    0                        -2.8806061680991744E-5   1.8939225248640123E-5
-7.999999999999999E-5     8.000044445933315E-5     2.3012168831591733E-4    0                        -2.8725641736314513E-5   1.8769055877088515E-5
0                         8.000044445933315E-5     2.3012168831591733E-4    0                        -2.8638216620777535E-5   1.8717966004325858E-5
8.00000000000001E-5       8.000044445933315E-5     2.3012168831591733E-4    0                        -2.8763353190752478E-5   1.886067243328411E-5
1.600000000000001E-4      8.000044445933315E-5     2.3012168831591733E-4    0                        -2.8748454803644435E-5   1.9071687619565658E-5
-7.999999999999999E-5     1.600008889186662E-4     2.3012168831591733E-4    0                        -4.058884493117188E-5    3.522713649760547E-5
0                         1.600008889186662E-4     2.3012168831591733E-4    0                        -4.0464940516254996E-5   3.5216527140651553E-5
8.00000000000001E-5       1.600008889186662E-4     2.3012168831591733E-4    0                        -4.0583888200071076E-5   3.5268984983556125E-5
-7.999999999999999E-5     -1.600008889186661E-4    2.958707421204651E-4     0                        -4.560510042044208E-5    -5.2638963445842684E-5
0                         -1.600008889186661E-4    2.958707421204651E-4     0                        -4.557457652161045E-5    -5.203833124920105E-5
8.00000000000001E-5       -1.600008889186661E-4    2.958707421204651E-4     0                        -4.566875200840496E-5    -5.2486817172915244E-5
-1.600000000000001E-4     -8.000044445933305E-5    2.958707421204651E-4     0                        -3.936120738454098E-5    -2.5164226760484876E-5
-7.999999999999999E-5     -8.000044445933305E-5    2.958707421204651E-4     0                        -3.932132739744547E-5    -2.4656684513999444E-5
0                         -8.000044445933305E-5    2.958707421204651E-4     0                        -3.9172874938754745E-5   -2.4536092669293202E-5
8.00000000000001E-5       -8.000044445933305E-5    2.958707421204651E-4     0                        -3.934847785031162E-5    -2.4620515468304354E-5
1.600000000000001E-4      -8.000044445933305E-5    2.958707421204651E-4     0                        -3.954594772118976E-5    -2.506176788446409E-5
-1.600000000000001E-4     0                        2.958707421204651E-4     0                        -4.112982435637146E-5    -1.994062309087125E-7
-7.999999999999999E-5     0                        2.958707421204651E-4     0                        -4.1092129359341915E-5   -3.070407872681657E-8
0                         0                        2.958707421204651E-4     0                        -4.09747354441698E-5     5.942897654686235E-8
8.00000000000001E-5       0                        2.958707421204651E-4     0                        -4.10132623399794E-5     4.305659345429881E-8
1.600000000000001E-4      0                        2.958707421204651E-4     0                        -4.111208902550631E-5    -8.933351772688151E-8
-1.600000000000001E-4     8.000044445933315E-5     2.958707421204651E-4     0                        -4.908535099485538E-5    2.2733235102765507E-5
-7.999999999999999E-5     8.000044445933315E-5     2.958707421204651E-4     0                        -4.8904699781935176E-5   2.2533884029454162E-5
0                         8.000044445933315E-5     2.958707421204651E-4     0                        -4.886793782931216E-5    2.2559460698076803E-5
8.00000000000001E-5       8.000044445933315E-5     2.958707421204651E-4     0                        -4.894182175529732E-5    2.2675530323273508E-5
1.600000000000001E-4      8.000044445933315E-5     2.958707421204651E-4     0                        -4.9092711930875685E-5   2.288747177394255E-5
-7.999999999999999E-5     1.600008889186662E-4     2.958707421204651E-4     0                        -6.184693007183982E-5    4.4004818454618634E-5
0                         1.600008889186662E-4     2.958707421204651E-4     0                        -6.178558852824635E-5    4.396402960108667E-5
8.00000000000001E-5       1.600008889186662E-4     2.958707421204651E-4     0                        -6.186928057344638E-5    4.406271015193049E-5
-7.999999999999999E-5     -1.600008889186661E-4    3.6161979592501294E-4    0                        -6.496066185567931E-5    -6.730278616138889E-5
0                         -1.600008889186661E-4    3.6161979592501294E-4    0                        -6.487563645095157E-5    -6.682292279015487E-5
8.00000000000001E-5       -1.600008889186661E-4    3.6161979592501294E-4    0                        -6.502322810392391E-5    -6.728933792895217E-5
-1.600000000000001E-4     -8.000044445933305E-5    3.6161979592501294E-4    0                        -6.113669741454576E-5    -3.404735349952312E-5
-7.999999999999999E-5     -8.000044445933305E-5    3.6161979592501294E-4    0                        -6.106371454103697E-5    -3.329120843973444E-5
0                         -8.000044445933305E-5    3.6161979592501294E-4    0                        -6.105901534944808E-5    -3.316312685915306E-5
8.00000000000001E-5       -8.000044445933305E-5    3.6161979592501294E-4    0                        -6.104755603748918E-5    -3.330701045412308E-5
1.600000000000001E-4      -8.000044445933305E-5    3.6161979592501294E-4    0                        -6.114452621923702E-5    -3.387190245335672E-5
-1.600000000000001E-4     0                        3.6161979592501294E-4    0                        -6.469885106468082E-5    -3.407415208789402E-6
-7.999999999999999E-5     0                        3.6161979592501294E-4    0                        -6.468559264155867E-5    -3.2386420547604104E-6
0                         0                        3.6161979592501294E-4    0                        -6.465308322244267E-5    -3.196531217130072E-6
8.00000000000001E-5       0                        3.6161979592501294E-4    0                        -6.471343103888415E-5    -3.2134131074615582E-6
1.600000000000001E-4      0                        3.6161979592501294E-4    0                        -6.476372910877538E-5    -3.27947319513219E-6
-1.600000000000001E-4     8.000044445933315E-5     3.6161979592501294E-4    0                        -7.440006194418689E-5    2.47199567063096E-5
-7.999999999999999E-5     8.000044445933315E-5     3.6161979592501294E-4    0                        -7.418446781398448E-5    2.447463440957169E-5
0                         8.000044445933315E-5     3.6161979592501294E-4    0                        -7.41304226333048E-5     2.44916688702942E-5
8.00000000000001E-5       8.000044445933315E-5     3.6161979592501294E-4    0                        -7.416665611276512E-5    2.4515755479259434E-5
1.600000000000001E-4      8.000044445933315E-5     3.6161979592501294E-4    0                        -7.437507038497341E-5    2.4750295431431657E-5
-7.999999999999999E-5     1.600008889186662E-4     3.6161979592501294E-4    0                        -8.857282730749488E-5    5.075170072159664E-5
0                         1.600008889186662E-4     3.6161979592501294E-4    0                        -8.852158881067868E-5    5.0682464632813635E-5
8.00000000000001E-5       1.600008889186662E-4     3.6161979592501294E-4    0                        -8.85007650083858E-5     5.0818896388929616E-5
-7.999999999999999E-5     -1.600008889186661E-4    4.273688497295607E-4     0                        -8.805018977495863E-5    -8.320691933505072E-5
0                         -1.600008889186661E-4    4.273688497295607E-4     0                        -8.801508889296482E-5    -8.264093810940401E-5
8.00000000000001E-5       -1.600008889186661E-4    4.273688497295607E-4     0                        -8.810620372117005E-5    -8.31079966618679E-5
-1.600000000000001E-4     -8.000044445933305E-5    4.273688497295607E-4     0                        -8.691166673388289E-5    -4.441718521138438E-5
-7.999999999999999E-5     -8.000044445933305E-5    4.273688497295607E-4     0                        -8.70510640174463E-5     -4.3630104862703184E-5
0                         -8.000044445933305E-5    4.273688497295607E-4     0                        -8.703472402484592E-5    -4.343551781130088E-5
8.00000000000001E-5       -8.000044445933305E-5    4.273688497295607E-4     0                        -8.707616044781896E-5    -4.3679212743003837E-5
1.600000000000001E-4      -8.000044445933305E-5    4.273688497295607E-4     0                        -8.69888986667435E-5     -4.436620944343259E-5
-1.600000000000001E-4     0                        4.273688497295607E-4     0                        -9.282398542086561E-5    -8.591212537322797E-6
-7.999999999999999E-5     0                        4.273688497295607E-4     0                        -9.277335654704394E-5    -8.452738530802956E-6
0                         0                        4.273688497295607E-4     0                        -9.278367638596415E-5    -8.34462140909603E-6
8.00000000000001E-5       0                        4.273688497295607E-4     0                        -9.284323748873108E-5    -8.422435969339694E-6
1.600000000000001E-4      0                        4.273688497295607E-4     0                        -9.286164231958258E-5    -8.501112264371563E-6
-1.600000000000001E-4     8.000044445933315E-5     4.273688497295607E-4     0                        -1.0442861262543306E-4   2.4358495925530974E-5
-7.999999999999999E-5     8.000044445933315E-5     4.273688497295607E-4     0                        -1.0417673235860109E-4   2.419944969758002E-5
0                         8.000044445933315E-5     4.273688497295607E-4     0                        -1.0408448237805384E-4   2.4143501837429524E-5
8.00000000000001E-5       8.000044445933315E-5     4.273688497295607E-4     0                        -1.0415744002684864E-4   2.4197996400115457E-5
1.600000000000001E-4      8.000044445933315E-5     4.273688497295607E-4     0                        -1.0437288731659301E-4   2.4470400241460716E-5
-7.999999999999999E-5     1.600008889186662E-4     4.273688497295607E-4     0                        -1.2017507399183354E-4   5.5002837116634115E-5
0                         1.600008889186662E-4     4.273688497295607E-4     0                        -1.2001409523435757E-4   5.490397541159893E-5
8.00000000000001E-5       1.600008889186662E-4     4.273688497295607E-4     0                        -1.2024519097862777E-4   5.5084107376715954E-5
-7.999999999999999E-5     -1.600008889186661E-4    4.931179035341085E-4     0                        -1.145757040699053E-4    -1.0047517983067116E-4
0                         -1.600008889186661E-4    4.931179035341085E-4     0                        -1.1484219436211434E-4   -9.99027429371666E-5
8.00000000000001E-5       -1.600008889186661E-4    4.931179035341085E-4     0                        -1.1465288316557259E-4   -1.004191847449554E-4
-1.600000000000001E-4     -8.000044445933305E-5    4.931179035341085E-4     0                        -1.1656913987841365E-4   -5.663458208211696E-5
-7.999999999999999E-5     -8.000044445933305E-5    4.931179035341085E-4     0                        -1.1685920897128697E-4   -5.5778118386905985E-5
0                         -8.000044445933305E-5    4.931179035341085E-4     0                        -1.1681392369762365E-4   -5.553678994785622E-5
